1000
Sofia,Adams,81300,7834585,4722524,0,82,200000
Tara,Jones,57152,7199298,3862148,0,56,400000
Catherine,Harris,54008,2341524,1480483,0,46,400000
Abigail,Moore,83473,3568216,308920,0,37,400000
Jacob,Farrell,98662,3863783,1885843,0,65,400000
Joyce,Adams,64713,6523421,4202111,0,87,200000
William,Howard,75000,9274662,3594058,0,58,600000
Dainton,Wells,51944,6540767,4972797,1,70,400000
Haris,Spencer,97943,2988127,4071143,1,28,400000
Brad,Perry,,3428119,1767119,0,76,200000
Carina,Casey,56071,72145,1773188,1,85,200000
Monino,versaco,75676,3836632,1705584,0,18,400000
Ryan,Ferguson,79512,7817624,1459864,0,72,200000
Haris,Hunt,-999999999999,7678581,641933,1,17,1400000
Derek,Scott,66394,4661795,,1,76,400000
Naomi,Murray,64745,9360483,3101382,1,120,1200000
Oscar,Scott,66682,1166511,1746733,1,46,400000
Carl,Moore,50765,7489544,2667291,0,30,600000
Spike,Craig,74511,9337473,3484954,0,91,200000
Victoria,Harris,57362,619355,4606274,1,17,400000
Jordan,Gibson,74512,4572692,4572691,1,46,200000
Patrick,Davis,98144,768223,912232,0,5,800000
Arthur,Hall,70573,699820,3596364,1,85,200000
Oscar,Parker,68479,5734552,3874245,1,62,400000
Rebecca,Mitchell,74512,3462694,1794651,0,51,400000
Jessica,Davis,56056,8764781,375199,1,75,600000
Maximilian,Douglas,62385,5643213,1695840,1,7,1200000
Preston,Carroll,73665,2950235,1197444,1,25,600000
Antony,Barnes,82223,3154600,335247,0,14,800000
Maddie,Mason,82717,3390155,3159322,0,28,200000
Myra,Lloyd,88305,1199588,3964949,0,63,0
Carina,Stevens,99254,3296434,841868,0,94,200000
Ryan,Harper,78808,2347668,3681378,0,11,600000
Dale,Cooper,89419,7156391,4843706,0,64,200000
Lily,Lloyd,97379,8509626,3765195,0,43,600000
Paul,Douglas,99064,3175138,2953964,1,25,800000
Grace,Davis,60153,5174352,1690499,1,97,200000
Sarah,Bailey,96410,7114904,1534647,0,63,400000
Chloe,Watson,60558,4059547,1179166,0,21,800000
Adelaide,Phillips,93967,4089638,1503373,0,49,600000
Ada,Hall,88553,16664,2326479,0,56,400000
Jasmine,Wilson,84161,7979589,3506753,1,4,1200000
James,Ross,98371,8853554,304652,1,38,1200000
Carl,Chapman,76866,5130279,28437,1,62,600000
Oliver,Cameron,87917,2597183,4005499,0,70,200000
Chloe,Harper,55356,8502636,3316125,0,22,1000000
Heather,Ellis,61109,5055130,1961194,1,12,800000
Wilson,Ferguson,95565,2676947,426651,1,68,400000
Kelvin,Carter,68172,1501220,3168178,1,5,800000
Tess,Ellis,50263,5413236,4984652,0,34,600000
Elise,Morrison,51356,9891486,3104141,1,85,400000
Valeria,Gibson,75596,8577230,4652901,1,57,400000
Clark,Elliott,61008,1856388,1455343,0,2,400000
Henry,Morrison,77080,3241440,1793345,1,42,400000
Mike,Morris,97769,8829143,4866372,0,23,600000
Michelle,Grant,82851,9548898,4240235,1,74,400000
Alexia,Morgan,99375,4301480,4614426,1,80,200000
Myra,Harper,88651,8801110,3346454,1,1,1200000
James,Cunningham,61749,6399563,3111378,0,49,400000
Lenny,Nelson,95935,6128071,804586,1,0,1600000
Eric,Miller,60669,6289764,3685848,1,31,400000
April,Higgins,74128,4754760,4777631,0,24,400000
Derek,Mitchell,93999,3962774,2883485,0,5,600000
Freddie,Harrison,65803,6890600,4886432,1,82,200000
Natalie,Johnson,83286,8584790,3235410,0,48,800000
Gianna,Wells,50975,8794516,1936079,1,43,1000000
Cadie,Robinson,86041,5286528,372430,0,75,400000
Brooke,Ross,70843,4630512,1719913,0,23,800000
Oliver,Nelson,54049,7377830,3362436,0,95,200000
Kirsten,Hamilton,60376,9544347,4266343,0,52,600000
Sarah,Ross,79565,6204755,1154000,0,55,400000
Camila,Davis,93902,9001397,1531465,1,37,800000
Alfred,Kelly,84303,4051287,1933761,1,39,800000
Mary,Hamilton,74336,4582265,3664496,1,95,200000
Roland,Armstrong,74555,7151723,2742894,1,1,1200000
Andrew,Harris,71529,7619178,3425083,1,61,600000
Vivian,Casey,54952,509636,1639969,1,81,200000
Arthur,Robinson,96087,4967962,1036675,1,89,200000
Jack,Harrison,82891,1204781,3428353,1,88,200000
Roman,Grant,65714,2806169,3005705,1,86,200000
Fiona,Brooks,65085,274832,3393330,1,36,200000
Natalie,Ferguson,76279,167163,3837774,1,18,600000
Oscar,Nelson,65041,2482547,1736369,1,46,200000
Grace,Harper,62719,351751,199885,0,20,400000
Violet,Phillips,92044,9512652,1149091,1,49,800000
Preston,Douglas,71920,3831573,3601362,1,14,400000
Lucia,Edwards,52808,9735161,2703582,1,23,1000000
Ned,Roberts,76095,3816509,2493323,1,67,200000
Aida,Turner,88387,3939179,1116083,1,23,800000
Joyce,Montgomery,51608,67149,4846444,0,8,200000
Jacob,Moore,64123,2543422,3836214,0,16,600000
Kelvin,Dixon,88854,1382854,3336958,1,65,200000
